setup_id,episode,discounted_return,episode_length,success,epsilon,mean_loss,rolling_return,rolling_success_rate,rolling_episode_length,rolling_loss
1,1,-24.478456418958224,218,1,1.0,nan,-24.478456418958224,1.0,218.0,nan
1,2,-12.725571342254609,24,1,0.995,nan,-18.602013880606417,1.0,121.0,nan
1,3,-29.42347441263844,243,1,0.990025,nan,-22.209167391283756,1.0,161.66666666666666,nan
1,4,-15.075340244826691,18,1,0.985074875,1.9010926485061646,-20.42571060466949,1.0,125.75,1.9010926485061646
1,5,-23.752994273963008,28,1,0.9801495006250001,1.2608662375382014,-21.091167338528194,1.0,106.2,1.580979443022183
