episode,return,length,success,epsilon,curriculum_radius
0,-81.6538888888889,51,1,0.9996,4
1,-564.083333333333,200,0,0.9979,4
2,6.023333333333333,4,1,0.9978,4
3,-540.3055555555554,200,0,0.9961,4
4,7.010555555555556,3,1,0.9961,4
5,-98.72888888888889,56,1,0.9956,4
6,-572.2500000000001,200,0,0.9939,4
7,-1.0216666666666665,7,1,0.9939,4
8,-560.1111111111107,200,0,0.9922,4
9,-235.71222222222224,116,1,0.9912,4
10,-19.083888888888886,13,1,0.9911,4
11,-353.8344444444445,126,1,0.99,4
12,0.021111111111112635,6,1,0.99,4
13,-18.184444444444445,16,1,0.9898,4
14,1.0083333333333346,5,1,0.9898,4
15,-576.3333333333335,200,0,0.9881,4
16,-82.54444444444447,40,1,0.9878,4
17,-37.20166666666667,19,1,0.9876,4
18,-62.36444444444445,28,1,0.9874,4
19,-480.33333333333326,200,0,0.9857,4
20,-595.9722222222222,200,0,0.984,4
21,-532.25,200,0,0.9823,4
22,-572.1944444444445,200,0,0.9806,4
23,-59.499444444444464,37,1,0.9803,4
24,-126.72444444444446,52,1,0.9798,4
25,5.967777777777778,4,1,0.9798,4
26,-45.321666666666665,27,1,0.9796,4
27,-171.29666666666668,92,1,0.9788,4
28,-25.293888888888887,27,1,0.9785,4
29,1.9955555555555566,4,1,0.9785,4
30,-17.141666666666666,15,1,0.9784,4
31,-30.212222222222223,16,1,0.9783,4
32,-229.47888888888892,106,1,0.9774,4
33,-333.8388888888889,130,1,0.9762,4
34,-467.6616666666667,183,1,0.9747,4
35,-2.096666666666664,12,1,0.9746,4
36,-395.50944444444445,171,1,0.9731,6
37,-616.1111111111111,200,0,0.9714,6
38,-408.3333333333333,200,0,0.9698,6
39,-584.0555555555554,200,0,0.9681,6
40,-377.86666666666673,130,1,0.967,6
41,-472.4366666666667,168,1,0.9655,6
42,-648.1111111111111,200,0,0.9638,6
43,-192.1594444444445,81,1,0.9631,6
44,-69.44166666666668,35,1,0.9628,6
45,-396.4088888888889,168,1,0.9614,6
46,-244.67611111111114,121,1,0.9604,6
47,-9.053888888888885,11,1,0.9603,6
48,-528.1111111111111,200,0,0.9586,6
49,-524.1944444444443,200,0,0.9569,6
50,-148.8788888888889,66,1,0.9564,6
51,-73.35833333333336,35,1,0.9561,6
52,-106.55333333333337,48,1,0.9556,6
53,-232.10388888888892,81,1,0.955,6
54,-512.0555555555557,200,0,0.9533,6
55,-524.0833333333334,200,0,0.9516,6
56,-14.156666666666665,16,1,0.9514,6
57,-423.42611111111114,171,1,0.95,6
58,-241.2988888888889,94,1,0.9492,6
59,-162.04611111111114,79,1,0.9485,6
60,-109.77833333333335,63,1,0.948,6
61,-536.0555555555555,200,0,0.9463,6
62,-596.1388888888889,200,0,0.9446,6
63,-560.2777777777778,200,0,0.9429,6
64,-166.09722222222223,75,1,0.9423,6
65,-2.1522222222222176,12,1,0.9422,6
66,7.010555555555556,3,1,0.9421,6
67,-29.146111111111107,19,1,0.942,6
68,-536.0555555555555,200,0,0.9403,6
69,-14.212222222222222,16,1,0.9401,6
70,-133.7138888888889,55,1,0.9397,6
71,-385.2716666666667,157,1,0.9383,6
72,-540.0833333333335,200,0,0.9366,6
73,-14.124444444444439,12,1,0.9365,6
74,-38.30888888888889,28,1,0.9363,6
75,-532.25,200,0,0.9346,6
76,-174.9088888888889,68,1,0.934,6
77,-10.04111111111111,12,1,0.9339,6
78,-371.15833333333336,155,1,0.9326,6
79,-243.29666666666668,92,1,0.9318,6
80,-127.79944444444445,57,1,0.9313,6
81,-219.4488888888889,104,1,0.9305,6
82,-524.0833333333334,200,0,0.9288,6
83,-6.124444444444443,12,1,0.9287,6
84,-536.1111111111113,200,0,0.927,6
85,-72.54666666666668,42,1,0.9266,6
86,-40.218888888888884,22,1,0.9264,6
87,-195.26444444444448,88,1,0.9257,6
88,-181.03111111111113,78,1,0.925,6
89,-49.38166666666666,31,1,0.9248,6
90,12.025555555555556,2,1,0.9247,6
91,-552.277777777778,200,0,0.923,6
92,5.036111111111112,5,1,0.923,6
93,13.012777777777778,1,1,0.923,8
94,-450.1477777777779,158,1,0.9217,8
95,-588.3055555555557,200,0,0.92,8
96,-75.38833333333334,37,1,0.9196,8
97,-564.0277777777777,200,0,0.9179,8
98,-17.109444444444442,11,1,0.9179,8
99,-412.13888888888886,200,0,0.9162,8
100,-520.1111111111111,200,0,0.9145,8
101,-536.1111111111111,200,0,0.9128,8
102,-552.111111111111,200,0,0.9111,8
103,-568.2222222222225,200,0,0.9094,8
104,-51.148333333333326,21,1,0.9092,8
105,-72.40333333333336,38,1,0.9089,8
106,-196.10833333333338,85,1,0.9081,8
107,-295.2738888888889,159,1,0.9068,8
108,-65.38166666666667,31,1,0.9065,8
109,-2.096666666666664,12,1,0.9064,8
110,-524.0277777777778,200,0,0.9047,8
111,-564.0833333333333,200,0,0.903,8
112,-7.0238888888888855,9,1,0.903,8
113,-572.0833333333335,200,0,0.9013,8
114,-480.0555555555555,200,0,0.8996,8
115,-527.9444444444443,200,0,0.8979,8
116,-467.9722222222223,200,0,0.8962,8
117,-16.154444444444444,14,1,0.8961,8
118,-146.0138888888889,75,1,0.8954,8
119,-388.0833333333333,200,0,0.8937,8
120,-359.2827777777778,167,1,0.8923,8
121,-87.44833333333334,41,1,0.892,8
122,-29.28944444444444,23,1,0.8918,8
123,-492.0833333333333,200,0,0.8901,8
124,-19.203888888888883,21,1,0.8899,8
125,-524.0833333333335,200,0,0.8882,8
126,-162.7055555555556,60,1,0.8877,8
127,-407.2827777777778,167,1,0.8863,8
128,-524.2499999999998,200,0,0.8846,8
129,-476.13888888888886,200,0,0.8829,8
130,-171.0977777777778,88,1,0.8821,8
131,-132.04388888888892,77,1,0.8815,8
132,-489.7838888888889,193,1,0.8798,8
133,-416.33333333333337,200,0,0.8781,8
134,-223.3977777777778,108,1,0.8772,8
135,-19.083888888888886,13,1,0.8771,8
136,-519.8888888888889,200,0,0.8754,8
137,-576.0555555555557,200,0,0.8737,8
138,-528.2222222222223,200,0,0.872,8
139,-397.3727777777778,173,1,0.8706,8
140,-488.16666666666663,200,0,0.8689,8
141,12.025555555555556,2,1,0.8688,8
142,-21.081666666666663,11,1,0.8688,8
143,-579.9722222222222,200,0,0.8671,8
144,-20.071111111111108,14,1,0.8669,8
