algo,grid,final_success_mean,final_success_lo,final_success_hi,auc_mean,auc_lo,auc_hi,ep_to_thr_mean,ep_to_thr_lo,ep_to_thr_hi,norm_return_mean,norm_return_lo,norm_return_hi,steps_to_goal_mean,steps_to_goal_lo,steps_to_goal_hi,composite_mean,composite_lo,composite_hi
DQN,A1_grid,0.6799999999999999,0.40032574948701477,0.9596742505129852,0.34375,0.29437103433647077,0.39312896566352923,365.6,257.9262634392212,473.27373656077884,0.940445652173913,0.9268580387496848,0.9540332655981412,11.382,6.4910897645137675,16.272910235486233,0.6252,0.47053132912758316,0.7798686708724167
DuelingDQN,A1_grid,1.0,1.0,1.0,0.9662500000000002,0.9506350000000001,0.9818650000000002,119.8,100.241508835291,139.358491164709,0.913014492753623,0.9091697486407561,0.91685923686649,14.7,14.7,14.7,0.9400999999999999,0.9303207544176454,0.9498792455823545
DQN,deceptive_grid,1.0,1.0,1.0,0.781875,0.6563600107058922,0.9073899892941077,198.8,118.21754443652144,279.3824555634786,0.919982057416268,0.9100895673516147,0.9298745474809214,12.960000000000003,12.602337419346114,13.317662580653892,0.9006000000000001,0.8603087722182607,0.9408912277817394
DuelingDQN,deceptive_grid,1.0,1.0,1.0,0.9625,0.9392225323542271,0.9857774676457729,126.6,108.2154173460478,144.9845826539522,0.909694976076555,0.9031713259284043,0.9162186262247057,12.7,12.7,12.7,0.9366999999999999,0.9275077086730238,0.9458922913269759
DQN,large_grid,0.6599999999999999,0.35150158250000696,0.9684984174999929,0.333125,0.21675059441612604,0.44949940558387397,537.0,421.22445571134926,652.7755442886507,0.8496542553191488,0.8160071547590764,0.8833013558792213,14.632,9.86431071585574,19.39968928414426,0.5012,0.26660475831117125,0.7357952416888287
DuelingDQN,large_grid,0.9700000000000001,0.9360010823701695,1.0039989176298307,0.92875,0.9169826574792777,0.9405173425207223,121.4,105.24663752155608,137.55336247844392,0.8943920972644378,0.8874149332465728,0.9013692612823028,12.672,12.115801537808672,13.22819846219133,0.9213000000000001,0.9063083148699022,0.9362916851300981
DQN,small_grid,1.0,1.0,1.0,0.953125,0.939136982806702,0.967113017193298,21.0,18.224,23.776,0.933427966101695,0.9200320446748189,0.946823887528571,4.2,4.2,4.2,0.9895000000000002,0.9881120000000002,0.9908880000000001
DuelingDQN,small_grid,1.0,1.0,1.0,0.9981250000000002,0.9960000676481358,1.0002499323518645,26.6,14.967268138566936,38.23273186143307,0.9302161016949153,0.9225415428972096,0.937890660492621,4.2,4.2,4.2,0.9867000000000001,0.9808836340692836,0.9925163659307167
