seed,grid,frame_stack,step_penalty,collision_penalty,target_reward,eval_min_dist,final_train_success,eval_success_rate,eval_avg_steps,eval_avg_return
0,small_grid,1,-1.0,-5.0,10.0,4,1.0,1.0,5.41,7.9503537101944275
1,small_grid,1,-1.0,-5.0,10.0,4,1.0,1.0,5.52,7.872788143783809
2,small_grid,1,-1.0,-5.0,10.0,4,1.0,1.0,5.74,7.766192544807991
0,A1_grid,1,-1.0,-5.0,10.0,11,1.0,1.0,23.79,-7.578127945924802
1,A1_grid,1,-1.0,-5.0,10.0,11,1.0,0.59,23.0,-91.09272520571477
2,A1_grid,1,-1.0,-5.0,10.0,11,1.0,1.0,24.17,-7.944326245183749
0,large_grid,1,-1.0,-5.0,10.0,10,0.78,0.0,nan,-213.2542948466047
1,large_grid,1,-1.0,-5.0,10.0,10,0.8,0.25,16.16,-161.60144671980572
2,large_grid,1,-1.0,-5.0,10.0,10,0.8,0.59,17.271186440677965,-89.1877413049491
