episode,return,length,success,epsilon,curriculum_radius
0,-400.3665375659868,155,1,0.9982,4
1,-59.42030425667767,23,1,0.998,4
2,-488.92199395100346,200,0,0.9957,4
3,-15.468485461672149,12,1,0.9956,4
4,-539.3975861817598,200,0,0.9933,4
5,9.917851128180821,2,1,0.9933,4
6,-511.99521725873205,200,0,0.991,4
7,1.736886717875798,7,1,0.991,4
8,-11.451818795005483,11,1,0.9908,4
9,-132.42339171866587,59,1,0.9902,4
10,-199.41810374458655,85,1,0.9892,4
11,-8.34526215394338,9,1,0.9891,4
12,-217.57347592413444,87,1,0.9881,4
13,-425.26179971993014,167,1,0.9862,4
14,-14.410744359095894,10,1,0.9861,4
15,-8.828595487276715,8,1,0.986,4
16,-403.25223982234843,154,1,0.9843,4
17,-101.04598069290327,51,1,0.9837,4
18,-81.99534635941193,37,1,0.9833,4
19,-6.287521051367126,7,1,0.9832,4
20,-55.248899743954325,31,1,0.9829,4
21,-70.60427192350234,45,1,0.9824,4
22,-64.81438194910686,32,1,0.982,4
23,-88.55308746198817,39,1,0.9816,4
24,-72.765566410621,32,1,0.9812,4
25,-10.033967666824658,13,1,0.981,4
26,-63.47986415425932,39,1,0.9806,4
27,-3.451818795005483,11,1,0.9805,4
28,-15.61611653864384,15,1,0.9803,4
29,-129.41565061608964,60,1,0.9796,6
30,-57.15008420546846,28,1,0.9793,6
31,-459.12436287403165,188,1,0.9772,6
32,-324.4878578732415,125,1,0.9758,6
33,9.917851128180821,2,1,0.9758,6
34,-43.650084205468474,28,1,0.9754,6
35,-326.1753789246086,126,1,0.974,6
36,-570.5196250279738,200,0,0.9717,6
37,7.835702256361643,4,1,0.9717,6
38,9.917851128180821,2,1,0.9717,6
39,-512.1416638741896,200,0,0.9694,6
40,-95.54598069290326,51,1,0.9688,6
41,-477.8975861817603,200,0,0.9666,6
42,-153.71983833412347,68,1,0.9658,6
43,-268.9913270523153,85,1,0.9648,6
44,-495.9219939510033,200,0,0.9626,6
45,-220.55799371898203,89,1,0.9616,6
46,-6.410744359095894,10,1,0.9615,6
47,-336.28612328370446,148,1,0.9598,6
48,-96.6840518722932,41,1,0.9593,6
49,-266.4545245399081,123,1,0.9579,6
50,-151.49843382140014,73,1,0.9571,6
51,-35.39589648743471,23,1,0.9569,6
52,10.45892556409041,1,1,0.9568,6
53,-478.0196250279749,200,0,0.9546,6
54,-172.5984338214002,79,1,0.9537,6
55,10.45892556409041,1,1,0.9537,6
56,-424.7493207712972,186,1,0.9516,6
57,10.45892556409041,1,1,0.9516,6
58,-1.7053721795479468,5,1,0.9515,6
59,-71.81438194910686,32,1,0.9511,8
60,-92.99716515441742,51,1,0.9506,8
61,-355.0557932068909,151,1,0.9489,8
62,-8.828595487276715,8,1,0.9488,8
63,-4.328595487276715,8,1,0.9487,8
64,-29.838155384858442,21,1,0.9484,8
65,-47.58460200031598,27,1,0.9481,8
66,-20.65719097455343,16,1,0.948,8
67,-19.11611653864384,15,1,0.9478,8
68,-218.7056247959536,92,1,0.9467,8
69,-60.109009769558895,27,1,0.9464,8
70,-338.60215561687977,126,1,0.945,8
71,-290.69141125778384,116,1,0.9437,8
72,-9.369669923186304,9,1,0.9436,8
73,-57.90363759001099,22,1,0.9434,8
74,-127.2590939750275,55,1,0.9427,8
75,-265.5002526164057,87,1,0.9417,8
76,-69.8887897183498,35,1,0.9413,8
77,-19.451818795005483,11,1,0.9412,8
78,-106.5364207953215,38,1,0.9408,8
79,-122.01264735956994,49,1,0.9402,8
80,9.917851128180821,2,1,0.9402,8
81,-75.10308746198814,42,1,0.9397,8
82,-36.55245312849678,28,1,0.9394,8
83,-192.04843382140018,76,1,0.9386,8
84,-9.575042102734251,14,1,0.9384,8
85,-95.93168294926488,50,1,0.9378,8
86,-124.07038846214624,51,1,0.9373,8
87,-10.910744359095894,10,1,0.9372,8
88,-299.6711912065748,136,1,0.9356,8
89,-267.1651846935355,102,1,0.9345,8
90,-35.44471202592052,23,1,0.9342,8
91,-183.3436959753436,82,1,0.9333,8
92,-195.12347592413445,90,1,0.9323,8
93,-238.77110700110623,93,1,0.9312,8
94,-236.75625912944508,106,1,0.93,8
95,-29.11793533364931,29,1,0.9297,8
96,-81.56201302607856,41,1,0.9292,8
97,10.45892556409041,1,1,0.9292,8
98,-35.936970923344276,24,1,0.9289,8
99,-44.86256315410138,21,1,0.9287,8
100,-20.223857641220093,20,1,0.9285,8
101,-310.47119120657476,124,1,0.9271,8
102,-176.7038060009481,78,1,0.9262,8
103,-133.63587066729875,52,1,0.9256,8
104,-28.37922982076803,22,1,0.9253,8
105,4.876776692271232,3,1,0.9253,8
106,2.253553384542464,6,1,0.9252,8
107,-41.90363759001097,22,1,0.925,8
108,-34.78041428228218,19,1,0.9248,8
109,-45.862563154101366,21,1,0.9245,8
110,-340.8230942070487,178,1,0.9225,8
111,-201.58058269321936,75,1,0.9217,8
112,-80.78286741077905,44,1,0.9212,8
113,-510.06844056646094,200,0,0.9189,8
114,-427.6326541046306,179,1,0.9169,8
115,-67.47093859016894,37,1,0.9165,8
116,-136.85198720594258,73,1,0.9157,8
117,-286.5444145143035,124,1,0.9143,8
118,-33.23933984637259,18,1,0.914,8
