algo,grid,seed,episode,global_step,episode_return,episode_length,success,epsilon,mean_loss
DQN,deceptive_grid,0,1,200,-280.89,200,0,0.9977,
DQN,deceptive_grid,0,2,400,-227.12,200,0,0.9955,
DQN,deceptive_grid,0,3,600,-221.12,200,0,0.9932,
DQN,deceptive_grid,0,4,800,-197.29,200,0,0.991,
DQN,deceptive_grid,0,5,1000,-234.9,200,0,0.9887,0.682163
DQN,deceptive_grid,0,6,1200,-221.24,200,0,0.9864,0.379432
DQN,deceptive_grid,0,7,1400,-229.93,200,0,0.9842,0.231382
DQN,deceptive_grid,0,8,1600,-228.15,200,0,0.9819,0.213462
DQN,deceptive_grid,0,9,1800,-206.01,200,0,0.9796,0.194589
DQN,deceptive_grid,0,10,1875,-72.87,75,1,0.9788,0.20454
DQN,deceptive_grid,0,11,2075,-329.09,200,0,0.9765,0.237222
DQN,deceptive_grid,0,12,2077,11.01,2,1,0.9765,0.196002
DQN,deceptive_grid,0,13,2277,-247.0,200,0,0.9742,0.243308
DQN,deceptive_grid,0,14,2477,-267.71,200,0,0.972,0.226065
DQN,deceptive_grid,0,15,2491,-3.77,14,1,0.9718,0.312059
DQN,deceptive_grid,0,16,2691,-230.85,200,0,0.9696,0.226417
DQN,deceptive_grid,0,17,2891,-275.6,200,0,0.9673,0.20674
DQN,deceptive_grid,0,18,3091,-227.25,200,0,0.965,0.199015
DQN,deceptive_grid,0,19,3291,-237.7,200,0,0.9628,0.19395
DQN,deceptive_grid,0,20,3371,-113.59,80,1,0.9619,0.190759
DQN,deceptive_grid,0,21,3571,-200.31,200,0,0.9596,0.179769
DQN,deceptive_grid,0,22,3771,-274.48,200,0,0.9574,0.175717
DQN,deceptive_grid,0,23,3971,-234.55,200,0,0.9551,0.169876
DQN,deceptive_grid,0,24,4171,-241.32,200,0,0.9528,0.161751
DQN,deceptive_grid,0,25,4371,-320.66,200,0,0.9506,0.164589
DQN,deceptive_grid,0,26,4373,11.01,2,1,0.9505,0.13744
DQN,deceptive_grid,0,27,4573,-200.33,200,0,0.9483,0.159597
DQN,deceptive_grid,0,28,4773,-245.85,200,0,0.946,0.161438
DQN,deceptive_grid,0,29,4973,-296.63,200,0,0.9438,0.149666
DQN,deceptive_grid,0,30,5167,-219.24,194,1,0.9416,0.151636
DQN,deceptive_grid,0,31,5170,11.03,3,1,0.9415,0.135123
DQN,deceptive_grid,0,32,5370,-193.22,200,0,0.9393,0.147995
DQN,deceptive_grid,0,33,5570,-212.01,200,0,0.937,0.135068
DQN,deceptive_grid,0,34,5616,-29.31,46,1,0.9365,0.14158
DQN,deceptive_grid,0,35,5816,-247.75,200,0,0.9342,0.138635
DQN,deceptive_grid,0,36,6016,-228.62,200,0,0.932,0.129382
DQN,deceptive_grid,0,37,6216,-302.07,200,0,0.9297,0.13222
DQN,deceptive_grid,0,38,6416,-245.57,200,0,0.9274,0.129614
DQN,deceptive_grid,0,39,6600,-225.57,184,1,0.9254,0.120649
DQN,deceptive_grid,0,40,6800,-285.93,200,0,0.9231,0.117751
DQN,deceptive_grid,0,41,6904,-109.22,104,1,0.9219,0.102502
DQN,deceptive_grid,0,42,7104,-276.37,200,0,0.9197,0.126957
DQN,deceptive_grid,0,43,7304,-213.27,200,0,0.9174,0.119204
DQN,deceptive_grid,0,44,7504,-182.53,200,0,0.9151,0.103036
DQN,deceptive_grid,0,45,7704,-208.19,200,0,0.9129,0.107911
DQN,deceptive_grid,0,46,7805,-85.37,101,1,0.9117,0.117438
DQN,deceptive_grid,0,47,7999,-250.76,194,1,0.9095,0.107504
DQN,deceptive_grid,0,48,8199,-290.57,200,0,0.9073,0.106285
DQN,deceptive_grid,0,49,8399,-249.63,200,0,0.905,0.099628
DQN,deceptive_grid,0,50,8532,-180.11,133,1,0.9035,0.098633
DQN,deceptive_grid,0,51,8566,-24.62,34,1,0.9031,0.086802
DQN,deceptive_grid,0,52,8766,-221.47,200,0,0.9009,0.102626
DQN,deceptive_grid,0,53,8966,-284.66,200,0,0.8986,0.112158
DQN,deceptive_grid,0,54,9013,-46.71,47,1,0.8981,0.102557
DQN,deceptive_grid,0,55,9213,-260.64,200,0,0.8958,0.11196
DQN,deceptive_grid,0,56,9269,-76.78,56,1,0.8952,0.098801
DQN,deceptive_grid,0,57,9396,-99.09,127,1,0.8937,0.119259
DQN,deceptive_grid,0,58,9529,-116.5,133,1,0.8922,0.10378
DQN,deceptive_grid,0,59,9566,-17.54,37,1,0.8918,0.148697
DQN,deceptive_grid,0,60,9766,-237.37,200,0,0.8896,0.11067
DQN,deceptive_grid,0,61,9772,6.11,6,1,0.8895,0.065627
