seed,grid,frame_stack,step_penalty,collision_penalty,target_reward,eval_min_dist,final_train_success,eval_success_rate,eval_avg_steps,eval_avg_return
0,small_grid,1,-1.0,-5.0,10.0,4,1.0,1.0,5.41,8.165
1,small_grid,1,-1.0,-5.0,10.0,4,1.0,1.0,5.52,8.09
2,small_grid,1,-1.0,-5.0,10.0,4,1.0,1.0,5.74,7.99
0,A1_grid,1,-1.0,-5.0,10.0,11,1.0,1.0,24.47,-6.645
1,A1_grid,1,-1.0,-5.0,10.0,11,1.0,0.76,23.657894736842106,-52.4
2,A1_grid,1,-1.0,-5.0,10.0,11,1.0,1.0,24.37,-6.535
0,large_grid,1,-1.0,-5.0,10.0,10,0.82,0.31,16.387096774193548,-137.69
1,large_grid,1,-1.0,-5.0,10.0,10,0.82,0.49,17.79591836734694,-102.06
2,large_grid,1,-1.0,-5.0,10.0,10,0.9,0.23,17.217391304347824,-153.78
