setup_id,episode,discounted_return,episode_length,success,epsilon,mean_loss,rolling_return,rolling_success_rate,rolling_episode_length,rolling_loss
1,1,-21.031596741675628,363,1,1.0,0.9574715482547532,-21.031596741675628,1.0,363.0,0.9574715482547532
1,2,-28.826140375531594,1000,0,0.995,0.977592670544982,-24.92886855860361,0.5,681.5,0.9675321093998677
1,3,-12.426561492415237,1000,0,0.990025,0.743151766076684,-20.761432869874152,0.3333333333333333,787.6666666666666,0.8927386616254731
1,4,-29.30308528038224,1000,0,0.985074875,0.5922208693325519,-22.896845972501175,0.25,840.75,0.8176092135522428
1,5,-22.477111299556693,1000,0,0.9801495006250001,0.45445035337656736,-22.81289903791228,0.2,872.6,0.7449774415171078
1,6,-16.215782437691367,1000,0,0.9752487531218751,0.348879655122757,-21.713379604542126,0.16666666666666666,893.8333333333334,0.678961143784716
1,7,-20.15879136884062,1000,0,0.9703725093562657,0.2546369343493134,-21.49129557087048,0.14285714285714285,909.0,0.6183433995796584
1,8,-36.35097342563162,1000,0,0.9655206468094844,0.2126512019559741,-23.348755302715624,0.125,920.375,0.5676318748766979
1,9,-14.00949307993716,1000,0,0.960693043575437,0.20353942930698396,-22.311059500184683,0.1111111111111111,929.2222222222222,0.5271771587022852
1,10,-24.306530251451253,819,1,0.9558895783575597,0.17944166451688032,-22.51060657531134,0.2,918.2,0.4924036092837447
1,11,-17.749034878823217,901,1,0.9511101304657719,0.1671486813988491,-22.077736421085145,0.2727272727272727,916.6363636363636,0.462834979476027
1,12,-21.935040867358822,1000,0,0.946354579813443,0.17351994817378,-22.065845124941287,0.25,923.5833333333334,0.43872539353417306
1,13,-30.591435803359502,1000,0,0.9416228069143757,0.15745782103110104,-22.721659792511918,0.23076923076923078,929.4615384615385,0.4170894264185521
1,14,-16.22323124987347,768,1,0.9369146928798039,0.15941246251380412,-22.2574863251806,0.2857142857142857,917.9285714285714,0.3986839289967844
1,15,-16.149113280121778,1000,0,0.9322301194154049,0.16119483051495626,-21.85026145551001,0.26666666666666666,923.4,0.3828513224313292
1,16,-19.835219340864118,1000,0,0.9275689688183278,0.1619491227325052,-21.724321323344647,0.25,928.1875,0.36904493495015267
1,17,-20.072401349265657,1000,0,0.9229311239742362,0.15545574302622117,-21.62714956016353,0.23529411764705882,932.4117647058823,0.3564808648369802
1,18,-18.839608230290562,1000,0,0.918316468354365,0.14833644064888357,-21.472286152948364,0.2222222222222222,936.1666666666666,0.34491728571541924
1,19,-31.547193259500673,1000,0,0.9137248860125932,0.16252374251326546,-22.002544421714273,0.21052631578947367,939.5263157894736,0.3353176255468848
1,20,-19.447155431414913,1000,0,0.9091562615825302,0.15428415100183338,-21.874774972199305,0.2,942.55,0.3262659518196323
1,21,-25.16424013851599,1000,0,0.9046104802746175,0.14515114051045383,-22.03141617059534,0.19047619047619047,945.2857142857143,0.3176414369953857
