algo,grid,seed,episode,global_step,episode_return,episode_length,success,epsilon,mean_loss
DQN,deceptive_grid,0,74,11926,-26.64,62,1,0.8651,0.728094
DQN,deceptive_grid,0,75,12126,-194.48,200,0,0.8629,0.772682
DQN,deceptive_grid,0,76,12234,-46.48,108,1,0.8616,0.737649
DQN,deceptive_grid,0,77,12434,-88.68,200,0,0.8594,0.713611
DQN,deceptive_grid,0,78,12634,-190.28,200,0,0.8571,0.758385
DQN,deceptive_grid,0,79,12734,-62.16,100,1,0.856,0.730341
DQN,deceptive_grid,0,80,12903,-91.56,169,1,0.8541,0.74205
DQN,deceptive_grid,0,81,12977,-31.08,74,1,0.8532,0.757379
DQN,deceptive_grid,0,82,13177,-152.6,200,0,0.851,0.782428
DQN,deceptive_grid,0,83,13377,-149.04,200,0,0.8487,0.75323
DQN,deceptive_grid,0,84,13446,-4.36,69,1,0.8479,0.734541
DQN,deceptive_grid,0,85,13646,-195.08,200,0,0.8457,0.792981
DQN,deceptive_grid,0,86,13846,-160.64,200,0,0.8434,0.719798
DQN,deceptive_grid,0,87,14046,-197.68,200,0,0.8411,0.767977
DQN,deceptive_grid,0,88,14246,-162.2,200,0,0.8389,0.715407
DQN,deceptive_grid,0,89,14305,-27.56,59,1,0.8382,0.665844
DQN,deceptive_grid,0,90,14479,-83.08,174,1,0.8362,0.672209
DQN,deceptive_grid,0,91,14655,-145.0,176,1,0.8343,0.737375
DQN,deceptive_grid,0,92,14855,-165.88,200,0,0.832,0.689964
DQN,deceptive_grid,0,93,15055,-184.44,200,0,0.8297,0.703043
DQN,deceptive_grid,0,94,15255,-145.76,200,0,0.8275,0.706237
DQN,deceptive_grid,0,95,15325,-49.0,70,1,0.8267,0.682789
DQN,deceptive_grid,0,96,15525,-217.44,200,0,0.8244,0.702711
DQN,deceptive_grid,0,97,15725,-119.44,200,0,0.8222,0.706658
DQN,deceptive_grid,0,98,15925,-138.84,200,0,0.8199,0.667622
DQN,deceptive_grid,0,99,16125,-227.0,200,0,0.8176,0.706708
DQN,deceptive_grid,0,100,16325,-174.8,200,0,0.8154,0.679168
DQN,deceptive_grid,0,101,16460,-82.08,135,1,0.8138,0.668981
DQN,deceptive_grid,0,102,16660,-205.2,200,0,0.8116,0.658845
DQN,deceptive_grid,0,103,16860,-208.12,200,0,0.8093,0.650189
DQN,deceptive_grid,0,104,17060,-129.88,200,0,0.8071,0.621537
