episode,return,length,success,epsilon,curriculum_radius
178,-44.0,29,1,0.8078,10
179,-399.0,200,0,0.8056,10
180,-320.0,176,1,0.8036,10
181,-545.5,200,0,0.8013,10
182,-410.0,165,1,0.7994,10
183,-180.0,76,1,0.7986,10
184,10.5,1,1,0.7986,10
185,-87.5,45,1,0.7981,10
186,-122.5,70,1,0.7973,10
187,-440.0,200,0,0.795,10
188,-35.0,27,1,0.7947,10
189,-134.5,56,1,0.7941,10
190,-5.5,9,1,0.794,10
191,-380.0,157,1,0.7922,10
192,-522.0,200,0,0.7899,10
193,-318.0,129,1,0.7885,10
194,-24.0,19,1,0.7883,10
195,-522.0,200,0,0.786,10
196,-8.5,13,1,0.7859,10
197,-86.0,44,1,0.7854,10
198,-381.5,200,0,0.7831,10
199,-36.0,32,1,0.7827,10
200,-166.5,74,1,0.7819,10
201,5.5,2,1,0.7819,10
202,-373.0,200,0,0.7796,10
203,-18.5,15,1,0.7794,10
204,-12.5,22,1,0.7792,10
205,-31.0,25,1,0.7789,10
206,-331.0,200,0,0.7766,10
207,-216.5,100,1,0.7755,10
208,-331.0,159,1,0.7737,10
209,4.0,5,1,0.7737,10
210,-80.5,42,1,0.7732,10
211,-101.5,61,1,0.7725,12
212,-158.5,74,1,0.7717,12
213,10.5,1,1,0.7716,12
214,-63.0,48,1,0.7711,12
215,-103.0,56,1,0.7705,12
216,-494.5,200,0,0.7682,12
217,-420.5,200,0,0.7659,12
218,-334.0,139,1,0.7644,12
219,-22.5,18,1,0.7642,12
220,-392.0,200,0,0.7619,12
221,-83.0,34,1,0.7615,12
222,-37.5,19,1,0.7613,12
223,-412.0,200,0,0.7591,12
224,-55.5,36,1,0.7586,12
225,-92.0,55,1,0.758,12
226,-43.5,27,1,0.7577,12
227,-165.0,86,1,0.7567,12
228,-374.5,200,0,0.7545,12
229,-499.5,200,0,0.7522,12
230,-2.5,12,1,0.7521,12
231,-367.5,200,0,0.7498,12
232,-311.0,139,1,0.7483,12
233,-10.5,14,1,0.7481,12
234,-434.0,200,0,0.7458,12
235,-8.5,10,1,0.7457,12
236,-111.0,68,1,0.7449,12
237,2.5,6,1,0.7449,12
238,-471.0,200,0,0.7426,12
239,1.0,7,1,0.7425,12
240,-190.5,79,1,0.7416,12
241,-487.5,200,0,0.7394,12
242,-45.0,29,1,0.7391,12
243,-5.5,11,1,0.7389,12
244,-515.5,200,0,0.7367,12
245,2.5,6,1,0.7366,12
246,-467.5,200,0,0.7343,12
247,-18.0,18,1,0.7341,12
248,-101.0,55,1,0.7335,12
249,4.5,4,1,0.7335,12
250,-526.5,200,0,0.7312,12
251,-93.0,41,1,0.7307,12
252,-399.5,200,0,0.7285,12
253,-381.5,200,0,0.7262,12
254,-351.5,200,0,0.724,12
255,-68.0,39,1,0.7235,12
256,-17.0,11,1,0.7234,12
257,-47.0,33,1,0.723,12
258,-395.0,200,0,0.7208,12
259,-10.5,12,1,0.7206,12
260,-2.0,11,1,0.7205,12
261,-21.5,19,1,0.7203,12
262,-144.5,76,1,0.7194,12
263,-465.0,200,0,0.7172,12
264,-382.5,200,0,0.7149,12
265,-177.0,93,1,0.7138,12
266,-31.0,24,1,0.7136,12
267,-31.5,21,1,0.7133,12
268,-377.5,200,0,0.7111,12
269,-6.0,15,1,0.7109,12
270,-528.0,200,0,0.7086,12
271,-141.0,62,1,0.7079,12
272,-119.5,60,1,0.7073,12
273,-36.5,32,1,0.7069,12
274,-343.5,200,0,0.7046,12
275,-59.5,35,1,0.7042,12
276,-442.5,200,0,0.702,12
277,-375.5,200,0,0.6997,12
278,-323.0,200,0,0.6975,12
279,-45.5,21,1,0.6972,12
280,-488.0,200,0,0.695,12
281,-402.0,200,0,0.6927,12
282,-341.0,200,0,0.6904,12
283,-256.0,139,1,0.6889,12
284,-429.0,200,0,0.6866,12
285,-384.0,200,0,0.6843,12
286,-49.5,36,1,0.6839,12
287,-390.5,200,0,0.6817,12
288,-51.5,35,1,0.6813,12
289,5.0,3,1,0.6812,12
290,-33.5,28,1,0.6809,12
291,-5.0,10,1,0.6808,12
292,-387.0,200,0,0.6785,12
293,-25.5,20,1,0.6783,12
294,-22.5,23,1,0.6781,12
295,-299.0,148,1,0.6764,12
296,-433.0,200,0,0.6741,12
297,-431.5,200,0,0.6719,12
298,-42.0,26,1,0.6716,12
299,-312.5,200,0,0.6693,12
300,-371.0,200,0,0.667,12
301,-41.5,33,1,0.6667,12
302,-408.5,200,0,0.6644,12
303,-124.5,59,1,0.6637,12
304,-0.5,13,1,0.6636,12
305,-42.5,25,1,0.6633,12
306,-456.5,200,0,0.6611,12
307,-411.0,200,0,0.6588,12
308,-48.0,35,1,0.6584,12
309,-358.5,200,0,0.6561,12
310,-118.0,62,1,0.6554,12
311,9.5,3,1,0.6554,12
312,-478.0,200,0,0.6531,12
313,-102.0,51,1,0.6526,12
314,-82.5,38,1,0.6521,12
315,-57.0,32,1,0.6518,12
316,-19.5,22,1,0.6515,12
317,-79.0,43,1,0.651,12
318,-360.5,200,0,0.6488,12
319,-24.5,18,1,0.6486,12
320,-394.5,200,0,0.6463,12
321,-26.0,29,1,0.646,12
322,-30.0,30,1,0.6456,12
323,-108.0,60,1,0.645,12
324,-290.0,200,0,0.6427,12
325,-10.5,10,1,0.6426,12
326,-3.0,10,1,0.6425,12
327,-342.5,200,0,0.6402,12
328,-27.5,27,1,0.6399,12
329,-349.0,200,0,0.6376,12
330,-40.0,27,1,0.6373,12
331,-8.5,10,1,0.6372,12
332,-388.0,200,0,0.635,12
333,-34.0,29,1,0.6346,12
334,-406.5,200,0,0.6324,12
335,-57.5,36,1,0.632,12
336,-43.5,27,1,0.6317,12
337,-326.5,200,0,0.6294,12
338,-356.0,200,0,0.6271,12
339,-85.5,50,1,0.6266,12
340,3.0,5,1,0.6265,12
341,-45.0,38,1,0.6261,12
342,-17.5,20,1,0.6259,12
343,-395.0,200,0,0.6236,12
344,-14.5,18,1,0.6234,12
345,-413.5,200,0,0.6211,12
346,-341.5,200,0,0.6189,12
347,-66.5,38,1,0.6184,12
348,-328.5,200,0,0.6162,12
349,-43.5,35,1,0.6158,12
350,-150.5,63,1,0.6151,12
351,-33.5,25,1,0.6148,12
352,-326.5,200,0,0.6125,12
353,-330.0,200,0,0.6103,12
354,-31.0,24,1,0.61,12
355,-442.0,200,0,0.6077,12
356,-58.5,38,1,0.6073,12
357,-82.0,50,1,0.6067,12
358,-54.5,32,1,0.6064,12
359,-20.0,18,1,0.6062,12
360,10.0,2,1,0.6061,12
361,-331.5,200,0,0.6039,12
362,-37.0,30,1,0.6035,12
363,3.5,9,1,0.6034,12
364,-6.0,7,1,0.6034,12
365,-196.0,121,1,0.602,12
366,8.0,4,1,0.6019,12
367,-38.0,30,1,0.6016,12
368,-62.5,34,1,0.6012,12
369,-335.0,200,0,0.599,12
370,5.0,8,1,0.5989,12
371,-360.0,200,0,0.5966,12
372,7.0,6,1,0.5965,12
373,-32.0,29,1,0.5962,12
374,-9.0,16,1,0.596,12
375,-2.0,13,1,0.5959,12
376,-44.0,28,1,0.5956,12
377,-38.5,31,1,0.5952,12
378,-395.5,200,0,0.593,12
379,10.0,2,1,0.5929,12
380,-7.0,19,1,0.5927,12
381,-12.0,15,1,0.5926,12
382,-4.0,13,1,0.5924,14
383,-223.0,131,1,0.5909,14
384,-25.5,20,1,0.5907,14
385,-23.5,13,1,0.5906,14
386,-104.5,60,1,0.5899,14
387,-89.0,53,1,0.5893,14
