episode,return,length,success,epsilon,curriculum_radius
0,-435.0,200,0,0.9977,4
1,-414.5,200,0,0.9955,4
2,-517.5,200,0,0.9932,4
3,-206.0,103,1,0.992,4
4,-123.0,56,1,0.9914,4
5,-366.5,200,0,0.9892,4
6,-60.0,37,1,0.9887,4
7,-49.0,30,1,0.9884,4
8,-506.0,200,0,0.9861,4
9,-447.5,200,0,0.9839,4
10,-400.0,200,0,0.9816,4
11,-437.5,200,0,0.9793,4
12,-439.5,200,0,0.9771,4
13,-504.0,200,0,0.9748,4
14,-230.0,95,1,0.9738,4
15,-10.5,10,1,0.9736,4
16,-513.0,200,0,0.9714,4
17,-95.0,60,1,0.9707,4
18,-248.0,145,1,0.9691,4
19,-213.0,138,1,0.9675,4
20,-422.5,200,0,0.9652,4
21,-4.0,8,1,0.9651,4
22,-465.0,200,0,0.9629,4
23,-496.0,200,0,0.9606,4
24,-120.0,73,1,0.9598,4
25,-455.5,200,0,0.9575,4
26,-525.5,200,0,0.9553,4
27,-412.5,200,0,0.953,4
28,-475.0,200,0,0.9507,4
29,-359.0,167,1,0.9489,4
30,-419.0,200,0,0.9466,4
31,-471.5,200,0,0.9443,4
32,-408.0,200,0,0.9421,4
33,-404.5,185,1,0.94,4
34,10.5,1,1,0.94,4
35,5.5,2,1,0.9399,4
36,-204.5,89,1,0.9389,4
37,-233.0,97,1,0.9378,4
38,-492.5,200,0,0.9356,4
39,-475.5,200,0,0.9333,4
40,-46.0,31,1,0.933,4
41,-175.0,71,1,0.9322,4
42,-362.0,200,0,0.9299,4
43,-382.5,200,0,0.9276,4
44,-426.0,200,0,0.9254,4
45,-382.5,200,0,0.9231,4
46,-218.5,119,1,0.9218,4
47,-431.0,200,0,0.9195,4
48,-453.5,200,0,0.9172,4
49,-326.0,159,1,0.9154,4
50,-481.0,200,0,0.9132,4
51,-364.5,200,0,0.9109,4
52,-396.0,200,0,0.9087,4
53,-392.0,200,0,0.9064,4
54,-400.0,200,0,0.9041,4
55,-359.5,200,0,0.9019,4
56,-444.5,200,0,0.8996,4
57,-427.5,200,0,0.8974,4
58,-457.0,200,0,0.8951,4
59,-506.0,200,0,0.8928,4
60,0.5,3,1,0.8928,4
61,-369.0,200,0,0.8905,4
62,-472.0,200,0,0.8883,4
63,-103.5,64,1,0.8875,4
64,8.5,3,1,0.8875,4
65,-392.0,200,0,0.8853,4
66,-345.0,200,0,0.883,4
67,-155.5,76,1,0.8821,4
68,-517.5,200,0,0.8799,4
69,10.0,2,1,0.8798,4
70,-448.0,200,0,0.8776,4
71,-488.0,200,0,0.8753,4
72,10.5,1,1,0.8753,4
73,-389.5,200,0,0.8731,4
74,-440.0,200,0,0.8708,4
75,-456.0,200,0,0.8685,4
76,-271.5,128,1,0.8671,4
77,-353.0,177,1,0.8651,4
78,-453.5,200,0,0.8628,4
79,-105.0,62,1,0.8621,4
80,-354.0,200,0,0.8599,4
81,-431.0,200,0,0.8576,4
82,-411.5,200,0,0.8553,4
83,-47.0,28,1,0.855,4
84,-27.0,19,1,0.8548,4
85,-41.0,25,1,0.8545,4
86,-49.5,26,1,0.8542,4
87,-413.5,200,0,0.852,4
88,-358.5,200,0,0.8497,4
89,-216.0,137,1,0.8481,4
90,-380.5,200,0,0.8459,4
91,-478.5,200,0,0.8436,4
92,-316.5,145,1,0.842,4
93,-458.0,200,0,0.8397,4
94,0.0,9,1,0.8396,4
95,-459.0,200,0,0.8374,4
96,-410.0,200,0,0.8351,4
97,9.5,3,1,0.8351,4
98,-361.0,200,0,0.8328,4
99,-428.5,200,0,0.8305,4
100,-353.0,200,0,0.8283,4
101,-134.5,59,1,0.8276,4
102,-134.0,74,1,0.8268,4
103,-98.5,47,1,0.8262,4
104,-7.5,8,1,0.8262,4
105,-44.0,32,1,0.8258,4
106,-377.0,200,0,0.8235,4
107,-37.5,22,1,0.8233,4
108,-299.0,200,0,0.821,4
109,-271.0,135,1,0.8195,4
110,-414.5,200,0,0.8172,4
111,-372.5,200,0,0.815,4
112,-415.5,200,0,0.8127,4
113,-8.0,9,1,0.8126,4
114,-36.5,25,1,0.8123,4
115,-30.5,19,1,0.8121,4
116,-8.0,9,1,0.812,4
117,-19.5,20,1,0.8118,4
118,5.0,3,1,0.8117,4
119,-376.0,200,0,0.8095,4
120,-9.0,9,1,0.8094,4
121,-375.0,200,0,0.8071,4
122,-30.0,15,1,0.8069,4
123,-62.0,31,1,0.8066,4
124,-27.0,24,1,0.8063,4
125,-140.0,77,1,0.8055,4
126,-436.5,200,0,0.8032,4
127,-41.0,25,1,0.8029,4
128,5.5,2,1,0.8029,4
129,-147.0,72,1,0.8021,4
130,-50.0,35,1,0.8017,4
131,-434.0,200,0,0.7994,4
132,-206.0,106,1,0.7982,4
133,-306.0,190,1,0.7961,4
134,-2.5,7,1,0.796,4
135,-274.0,155,1,0.7942,4
136,-3.0,8,1,0.7941,4
137,-4.5,9,1,0.794,4
138,-27.0,16,1,0.7939,4
139,-77.0,42,1,0.7934,4
140,-53.5,38,1,0.793,6
141,-228.0,138,1,0.7914,6
142,-26.0,24,1,0.7911,6
143,-92.5,44,1,0.7906,6
144,-305.0,158,1,0.7888,6
145,-85.5,51,1,0.7883,6
146,-150.0,79,1,0.7874,6
147,-54.0,26,1,0.7871,6
148,-182.0,116,1,0.7858,6
149,-120.0,62,1,0.7851,6
150,-25.0,19,1,0.7848,6
151,-76.0,34,1,0.7845,6
152,-153.0,105,1,0.7833,6
153,-423.0,200,0,0.781,6
154,-400.0,200,0,0.7788,6
155,-43.0,32,1,0.7784,6
156,-67.5,41,1,0.7779,6
157,-82.5,47,1,0.7774,6
158,10.5,1,1,0.7774,6
159,-401.0,200,0,0.7751,6
160,-46.5,32,1,0.7748,6
161,-52.5,38,1,0.7743,6
162,-371.5,200,0,0.7721,6
