algo,grid,seed,episode,global_step,episode_return,episode_length,success,epsilon,mean_loss
DQN,deceptive_grid,0,1,200,-231.12,200,0,0.9977,
DQN,deceptive_grid,0,2,400,-52.96,200,0,0.9955,
DQN,deceptive_grid,0,3,600,-60.96,200,0,0.9932,
DQN,deceptive_grid,0,4,800,-38.32,200,0,0.991,
DQN,deceptive_grid,0,5,1000,-3.2,200,0,0.9887,7.320038
DQN,deceptive_grid,0,6,1185,108.16,185,1,0.9866,4.25385
DQN,deceptive_grid,0,7,1385,18.56,200,0,0.9843,2.843738
DQN,deceptive_grid,0,8,1585,55.12,200,0,0.9821,2.672453
DQN,deceptive_grid,0,9,1785,-25.04,200,0,0.9798,2.039707
DQN,deceptive_grid,0,10,1901,-24.84,116,1,0.9785,2.123908
DQN,deceptive_grid,0,11,2101,-310.88,200,0,0.9762,2.57758
DQN,deceptive_grid,0,12,2139,-12.36,38,1,0.9758,2.335698
DQN,deceptive_grid,0,13,2339,-136.72,200,0,0.9735,2.230253
DQN,deceptive_grid,0,14,2539,-196.4,200,0,0.9713,2.430127
DQN,deceptive_grid,0,15,2590,-24.8,51,1,0.9707,2.29374
DQN,deceptive_grid,0,16,2670,9.88,80,1,0.9698,2.131354
DQN,deceptive_grid,0,17,2870,-102.4,200,0,0.9675,2.119647
DQN,deceptive_grid,0,18,3070,-112.4,200,0,0.9653,2.309273
DQN,deceptive_grid,0,19,3270,-41.68,200,0,0.963,2.120057
DQN,deceptive_grid,0,20,3371,-25.92,101,1,0.9619,2.124725
DQN,deceptive_grid,0,21,3571,33.68,200,0,0.9596,2.270536
DQN,deceptive_grid,0,22,3771,-186.88,200,0,0.9574,2.231299
DQN,deceptive_grid,0,23,3971,-119.68,200,0,0.9551,2.144779
DQN,deceptive_grid,0,24,4171,28.16,200,0,0.9528,2.452502
DQN,deceptive_grid,0,25,4371,-252.08,200,0,0.9506,2.227021
DQN,deceptive_grid,0,26,4373,25.08,2,1,0.9505,1.932734
DQN,deceptive_grid,0,27,4573,-48.64,200,0,0.9483,2.411832
DQN,deceptive_grid,0,28,4773,33.84,200,0,0.946,2.249945
DQN,deceptive_grid,0,29,4973,-143.44,200,0,0.9438,2.174862
DQN,deceptive_grid,0,30,5173,-120.08,200,0,0.9415,2.38379
DQN,deceptive_grid,0,31,5349,-115.32,176,1,0.9395,2.197731
DQN,deceptive_grid,0,32,5549,77.36,200,0,0.9372,2.352029
DQN,deceptive_grid,0,33,5749,-95.92,200,0,0.935,2.301656
DQN,deceptive_grid,0,34,5949,-209.44,200,0,0.9327,2.221381
DQN,deceptive_grid,0,35,6149,-8.24,200,0,0.9305,2.420197
DQN,deceptive_grid,0,36,6349,-93.28,200,0,0.9282,2.253685
