algo,grid,seed,episode,global_step,episode_return,episode_length,success,epsilon,mean_loss
DQN,deceptive_grid,0,1,200,-352.0,200,0,0.9977,
DQN,deceptive_grid,0,2,400,-228.0,200,0,0.9955,
DQN,deceptive_grid,0,3,600,-316.0,200,0,0.9932,
DQN,deceptive_grid,0,4,800,-212.0,200,0,0.991,
DQN,deceptive_grid,0,5,1000,-228.0,200,0,0.9887,7.408789
DQN,deceptive_grid,0,6,1185,-70.0,185,1,0.9866,4.265395
DQN,deceptive_grid,0,7,1385,-176.0,200,0,0.9843,2.853797
DQN,deceptive_grid,0,8,1585,-208.0,200,0,0.9821,2.655477
DQN,deceptive_grid,0,9,1785,-192.0,200,0,0.9798,1.999389
DQN,deceptive_grid,0,10,1901,-81.0,116,1,0.9785,2.087844
DQN,deceptive_grid,0,11,2101,-444.0,200,0,0.9762,2.510604
DQN,deceptive_grid,0,12,2139,-27.0,38,1,0.9758,2.278502
DQN,deceptive_grid,0,13,2339,-276.0,200,0,0.9735,2.183666
DQN,deceptive_grid,0,14,2539,-404.0,200,0,0.9713,2.370238
DQN,deceptive_grid,0,15,2590,-40.0,51,1,0.9707,2.214945
DQN,deceptive_grid,0,16,2670,-21.0,80,1,0.9698,2.083714
DQN,deceptive_grid,0,17,2870,-224.0,200,0,0.9675,2.084773
DQN,deceptive_grid,0,18,3070,-256.0,200,0,0.9653,2.256103
DQN,deceptive_grid,0,19,3270,-204.0,200,0,0.963,2.066092
DQN,deceptive_grid,0,20,3371,-90.0,101,1,0.9619,2.057686
DQN,deceptive_grid,0,21,3571,-152.0,200,0,0.9596,2.178868
DQN,deceptive_grid,0,22,3771,-312.0,200,0,0.9574,2.113217
DQN,deceptive_grid,0,23,3971,-300.0,200,0,0.9551,2.032768
DQN,deceptive_grid,0,24,4171,-132.0,200,0,0.9528,2.295583
DQN,deceptive_grid,0,25,4371,-344.0,200,0,0.9506,2.104858
DQN,deceptive_grid,0,26,4373,25.0,2,1,0.9505,1.670372
DQN,deceptive_grid,0,27,4573,-224.0,200,0,0.9483,2.27778
DQN,deceptive_grid,0,28,4773,-156.0,200,0,0.946,2.11869
DQN,deceptive_grid,0,29,4973,-284.0,200,0,0.9438,2.025089
DQN,deceptive_grid,0,30,5173,-260.0,200,0,0.9415,2.272505
DQN,deceptive_grid,0,31,5237,-57.0,64,1,0.9408,2.030404
DQN,deceptive_grid,0,32,5437,-212.0,200,0,0.9385,2.062353
DQN,deceptive_grid,0,33,5637,-188.0,200,0,0.9362,2.238434
DQN,deceptive_grid,0,34,5837,-248.0,200,0,0.934,2.05156
DQN,deceptive_grid,0,35,6037,-192.0,200,0,0.9317,2.198642
DQN,deceptive_grid,0,36,6237,-360.0,200,0,0.9295,2.024056
DQN,deceptive_grid,0,37,6437,-140.0,200,0,0.9272,1.966341
DQN,deceptive_grid,0,38,6598,-54.0,161,1,0.9254,2.175877
DQN,deceptive_grid,0,39,6798,-268.0,200,0,0.9231,2.071746
DQN,deceptive_grid,0,40,6899,-2.0,101,1,0.922,1.944916
DQN,deceptive_grid,0,41,7099,-248.0,200,0,0.9197,2.137588
DQN,deceptive_grid,0,42,7299,-188.0,200,0,0.9175,2.011468
DQN,deceptive_grid,0,43,7499,-124.0,200,0,0.9152,1.966918
DQN,deceptive_grid,0,44,7699,-96.0,200,0,0.9129,2.235545
DQN,deceptive_grid,0,45,7899,-132.0,200,0,0.9107,2.034385
DQN,deceptive_grid,0,46,8034,-80.0,135,1,0.9091,2.260276
DQN,deceptive_grid,0,47,8234,-236.0,200,0,0.9069,2.120379
DQN,deceptive_grid,0,48,8434,-376.0,200,0,0.9046,2.067412
DQN,deceptive_grid,0,49,8634,-232.0,200,0,0.9024,2.241891
DQN,deceptive_grid,0,50,8756,-71.0,122,1,0.901,2.112331
DQN,deceptive_grid,0,51,8906,-111.0,150,1,0.8993,2.180413
DQN,deceptive_grid,0,52,9106,-356.0,200,0,0.897,2.28909
DQN,deceptive_grid,0,53,9306,-192.0,200,0,0.8948,2.1745
DQN,deceptive_grid,0,54,9385,-12.0,79,1,0.8939,2.092608
DQN,deceptive_grid,0,55,9585,-276.0,200,0,0.8916,2.34675
DQN,deceptive_grid,0,56,9785,-276.0,200,0,0.8893,2.352047
DQN,deceptive_grid,0,57,9985,-268.0,200,0,0.8871,2.399726
DQN,deceptive_grid,0,58,10185,-220.0,200,0,0.8848,2.432219
DQN,deceptive_grid,0,59,10225,43.0,40,1,0.8844,2.361269
DQN,deceptive_grid,0,60,10425,-380.0,200,0,0.8821,2.285851
DQN,deceptive_grid,0,61,10432,44.0,7,1,0.882,2.019262
DQN,deceptive_grid,0,62,10605,-126.0,173,1,0.8801,2.521692
DQN,deceptive_grid,0,63,10805,-300.0,200,0,0.8778,2.398183
DQN,deceptive_grid,0,64,11005,-320.0,200,0,0.8755,2.379521
DQN,deceptive_grid,0,65,11186,-158.0,181,1,0.8735,2.480148
DQN,deceptive_grid,0,66,11386,-172.0,200,0,0.8712,2.488263
DQN,deceptive_grid,0,67,11432,33.0,46,1,0.8707,2.367905
DQN,deceptive_grid,0,68,11632,-276.0,200,0,0.8684,2.544968
DQN,deceptive_grid,0,69,11673,-6.0,41,1,0.868,2.654355
DQN,deceptive_grid,0,70,11873,-208.0,200,0,0.8657,2.543765
DQN,deceptive_grid,0,71,12073,-220.0,200,0,0.8635,2.592995
DQN,deceptive_grid,0,72,12273,-224.0,200,0,0.8612,2.611433
DQN,deceptive_grid,0,73,12412,-40.0,139,1,0.8596,2.54726
DQN,deceptive_grid,0,74,12539,-60.0,127,1,0.8582,2.5998
DQN,deceptive_grid,0,75,12562,44.0,23,1,0.8579,2.892884
DQN,deceptive_grid,0,76,12598,43.0,36,1,0.8575,2.840834
DQN,deceptive_grid,0,77,12798,-196.0,200,0,0.8553,2.74229
DQN,deceptive_grid,0,78,12998,-200.0,200,0,0.853,2.601487
DQN,deceptive_grid,0,79,13167,-70.0,169,1,0.8511,2.964077
DQN,deceptive_grid,0,80,13358,-88.0,191,1,0.8489,2.798376
DQN,deceptive_grid,0,81,13509,-112.0,151,1,0.8472,2.885531
DQN,deceptive_grid,0,82,13683,-135.0,174,1,0.8453,2.909378
DQN,deceptive_grid,0,83,13883,-200.0,200,0,0.843,2.78249
DQN,deceptive_grid,0,84,14083,-288.0,200,0,0.8407,2.965256
DQN,deceptive_grid,0,85,14143,7.0,60,1,0.84,3.022368
