algo,grid,seed,episode,global_step,episode_return,episode_length,success,epsilon,mean_loss
DQN,deceptive_grid,0,1,200,-273.78,200,0,0.9977,
DQN,deceptive_grid,0,2,400,-202.24,200,0,0.9955,
DQN,deceptive_grid,0,3,600,-198.24,200,0,0.9932,
DQN,deceptive_grid,0,4,800,-174.58,200,0,0.991,
DQN,deceptive_grid,0,5,1000,-201.8,200,0,0.9887,1.48035
DQN,deceptive_grid,0,6,1200,-194.48,200,0,0.9864,0.766178
DQN,deceptive_grid,0,7,1400,-195.86,200,0,0.9842,0.433094
DQN,deceptive_grid,0,8,1600,-192.3,200,0,0.9819,0.370521
DQN,deceptive_grid,0,9,1800,-172.02,200,0,0.9796,0.308708
DQN,deceptive_grid,0,10,1875,-61.74,75,1,0.9788,0.314477
DQN,deceptive_grid,0,11,2075,-334.22,200,0,0.9765,0.399562
DQN,deceptive_grid,0,12,2077,13.02,2,1,0.9765,0.364809
DQN,deceptive_grid,0,13,2277,-230.0,200,0,0.9742,0.405785
DQN,deceptive_grid,0,14,2477,-267.34,200,0,0.972,0.385365
DQN,deceptive_grid,0,15,2524,-44.16,47,1,0.9715,0.472417
DQN,deceptive_grid,0,16,2724,-200.28,200,0,0.9692,0.410062
DQN,deceptive_grid,0,17,2924,-258.72,200,0,0.9669,0.375026
DQN,deceptive_grid,0,18,2965,-39.22,41,1,0.9665,0.37682
DQN,deceptive_grid,0,19,3165,-198.86,200,0,0.9642,0.407541
DQN,deceptive_grid,0,20,3365,-272.94,200,0,0.9619,0.382841
DQN,deceptive_grid,0,21,3565,-199.08,200,0,0.9597,0.378397
DQN,deceptive_grid,0,22,3765,-265.2,200,0,0.9574,0.374011
DQN,deceptive_grid,0,23,3965,-221.26,200,0,0.9552,0.347358
DQN,deceptive_grid,0,24,4165,-183.9,200,0,0.9529,0.368408
DQN,deceptive_grid,0,25,4365,-313.92,200,0,0.9506,0.364215
DQN,deceptive_grid,0,26,4377,3.56,12,1,0.9505,0.337931
DQN,deceptive_grid,0,27,4577,-202.56,200,0,0.9482,0.356565
DQN,deceptive_grid,0,28,4777,-232.68,200,0,0.946,0.361902
DQN,deceptive_grid,0,29,4977,-259.7,200,0,0.9437,0.344806
