algo,grid,seed,episode,global_step,episode_return,episode_length,success,epsilon,mean_loss
DQN,deceptive_grid,0,1,200,-304.0,200,0,0.9977,
DQN,deceptive_grid,0,2,400,-246.0,200,0,0.9955,
DQN,deceptive_grid,0,3,600,-262.0,200,0,0.9932,
DQN,deceptive_grid,0,4,800,-218.0,200,0,0.991,
DQN,deceptive_grid,0,5,1000,-258.0,200,0,0.9887,1.502539
DQN,deceptive_grid,0,6,1200,-244.0,200,0,0.9864,0.776027
DQN,deceptive_grid,0,7,1400,-248.0,200,0,0.9842,0.433684
DQN,deceptive_grid,0,8,1600,-256.0,200,0,0.9819,0.354557
DQN,deceptive_grid,0,9,1800,-228.0,200,0,0.9796,0.301123
DQN,deceptive_grid,0,10,1875,-72.0,75,1,0.9788,0.310232
DQN,deceptive_grid,0,11,2075,-362.0,200,0,0.9765,0.382596
DQN,deceptive_grid,0,12,2077,13.0,2,1,0.9765,0.363274
DQN,deceptive_grid,0,13,2277,-268.0,200,0,0.9742,0.396059
DQN,deceptive_grid,0,14,2477,-302.0,200,0,0.972,0.376947
DQN,deceptive_grid,0,15,2524,-46.0,47,1,0.9715,0.444953
DQN,deceptive_grid,0,16,2724,-244.0,200,0,0.9692,0.394953
DQN,deceptive_grid,0,17,2924,-288.0,200,0,0.9669,0.361435
DQN,deceptive_grid,0,18,2965,-44.0,41,1,0.9665,0.35606
DQN,deceptive_grid,0,19,3165,-244.0,200,0,0.9642,0.37933
DQN,deceptive_grid,0,20,3365,-306.0,200,0,0.9619,0.355394
DQN,deceptive_grid,0,21,3565,-248.0,200,0,0.9597,0.346447
DQN,deceptive_grid,0,22,3765,-298.0,200,0,0.9574,0.345162
DQN,deceptive_grid,0,23,3965,-262.0,200,0,0.9552,0.322279
DQN,deceptive_grid,0,24,4165,-228.0,200,0,0.9529,0.330774
DQN,deceptive_grid,0,25,4365,-336.0,200,0,0.9506,0.326304
DQN,deceptive_grid,0,26,4377,3.0,12,1,0.9505,0.30214
DQN,deceptive_grid,0,27,4577,-238.0,200,0,0.9482,0.312778
DQN,deceptive_grid,0,28,4777,-276.0,200,0,0.946,0.317249
DQN,deceptive_grid,0,29,4977,-302.0,200,0,0.9437,0.300259
DQN,deceptive_grid,0,30,5177,-270.0,200,0,0.9415,0.295059
DQN,deceptive_grid,0,31,5184,10.0,7,1,0.9414,0.226859
DQN,deceptive_grid,0,32,5382,-195.0,198,1,0.9391,0.265063
DQN,deceptive_grid,0,33,5582,-234.0,200,0,0.9369,0.261439
DQN,deceptive_grid,0,34,5616,-15.0,34,1,0.9365,0.263765
DQN,deceptive_grid,0,35,5816,-280.0,200,0,0.9342,0.232849
DQN,deceptive_grid,0,36,6016,-258.0,200,0,0.932,0.221432
DQN,deceptive_grid,0,37,6216,-312.0,200,0,0.9297,0.235741
DQN,deceptive_grid,0,38,6416,-240.0,200,0,0.9274,0.210904
DQN,deceptive_grid,0,39,6600,-231.0,184,1,0.9254,0.210812
DQN,deceptive_grid,0,40,6800,-304.0,200,0,0.9231,0.197183
DQN,deceptive_grid,0,41,6908,-109.0,108,1,0.9219,0.18814
DQN,deceptive_grid,0,42,7108,-292.0,200,0,0.9196,0.190019
DQN,deceptive_grid,0,43,7308,-232.0,200,0,0.9173,0.187841
DQN,deceptive_grid,0,44,7508,-200.0,200,0,0.9151,0.174822
DQN,deceptive_grid,0,45,7708,-196.0,200,0,0.9128,0.181752
DQN,deceptive_grid,0,46,7803,-92.0,95,1,0.9118,0.167164
DQN,deceptive_grid,0,47,8000,-202.0,197,1,0.9095,0.163731
DQN,deceptive_grid,0,48,8200,-296.0,200,0,0.9073,0.178983
DQN,deceptive_grid,0,49,8400,-270.0,200,0,0.905,0.155649
DQN,deceptive_grid,0,50,8527,-156.0,127,1,0.9036,0.168167
DQN,deceptive_grid,0,51,8561,-9.0,34,1,0.9032,0.176998
DQN,deceptive_grid,0,52,8761,-230.0,200,0,0.9009,0.167781
DQN,deceptive_grid,0,53,8961,-270.0,200,0,0.8987,0.163992
DQN,deceptive_grid,0,54,9161,-234.0,200,0,0.8964,0.169459
DQN,deceptive_grid,0,55,9178,-8.0,17,1,0.8962,0.158378
DQN,deceptive_grid,0,56,9269,-128.0,91,1,0.8952,0.152182
DQN,deceptive_grid,0,57,9396,-108.0,127,1,0.8937,0.158411
DQN,deceptive_grid,0,58,9596,-240.0,200,0,0.8915,0.162857
DQN,deceptive_grid,0,59,9627,-20.0,31,1,0.8911,0.141608
DQN,deceptive_grid,0,60,9827,-238.0,200,0,0.8889,0.157197
DQN,deceptive_grid,0,61,9892,-76.0,65,1,0.8881,0.148884
DQN,deceptive_grid,0,62,10058,-179.0,166,1,0.8862,0.168166
DQN,deceptive_grid,0,63,10258,-266.0,200,0,0.884,0.150145
DQN,deceptive_grid,0,64,10458,-254.0,200,0,0.8817,0.150512
DQN,deceptive_grid,0,65,10523,-74.0,65,1,0.881,0.177849
DQN,deceptive_grid,0,66,10723,-188.0,200,0,0.8787,0.178956
DQN,deceptive_grid,0,67,10923,-208.0,200,0,0.8765,0.155109
DQN,deceptive_grid,0,68,11123,-276.0,200,0,0.8742,0.174486
DQN,deceptive_grid,0,69,11177,-57.0,54,1,0.8736,0.177301
DQN,deceptive_grid,0,70,11254,-82.0,77,1,0.8727,0.162997
DQN,deceptive_grid,0,71,11423,-192.0,169,1,0.8708,0.156812
DQN,deceptive_grid,0,72,11623,-260.0,200,0,0.8685,0.167633
DQN,deceptive_grid,0,73,11691,-51.0,68,1,0.8678,0.173628
DQN,deceptive_grid,0,74,11891,-234.0,200,0,0.8655,0.169475
DQN,deceptive_grid,0,75,12091,-278.0,200,0,0.8633,0.167489
DQN,deceptive_grid,0,76,12216,-128.0,125,1,0.8618,0.166531
DQN,deceptive_grid,0,77,12403,-184.0,187,1,0.8597,0.159602
DQN,deceptive_grid,0,78,12493,-89.0,90,1,0.8587,0.148314
DQN,deceptive_grid,0,79,12552,-38.0,59,1,0.858,0.197747
DQN,deceptive_grid,0,80,12734,-219.0,182,1,0.856,0.179712
DQN,deceptive_grid,0,81,12780,-23.0,46,1,0.8555,0.1669
DQN,deceptive_grid,0,82,12824,-19.0,44,1,0.855,0.160656
DQN,deceptive_grid,0,83,12863,-10.0,39,1,0.8545,0.176999
DQN,deceptive_grid,0,84,13005,-143.0,142,1,0.8529,0.173478
DQN,deceptive_grid,0,85,13165,-165.0,160,1,0.8511,0.208753
DQN,deceptive_grid,0,86,13253,-95.0,88,1,0.8501,0.181031
DQN,deceptive_grid,0,87,13453,-338.0,200,0,0.8479,0.180837
DQN,deceptive_grid,0,88,13498,-16.0,45,1,0.8473,0.183793
DQN,deceptive_grid,0,89,13553,-40.0,55,1,0.8467,0.214678
DQN,deceptive_grid,0,90,13753,-262.0,200,0,0.8445,0.18194
DQN,deceptive_grid,0,91,13910,-146.0,157,1,0.8427,0.172744
DQN,deceptive_grid,0,92,13937,-6.0,27,1,0.8424,0.155916
DQN,deceptive_grid,0,93,14061,-135.0,124,1,0.841,0.191164
DQN,deceptive_grid,0,94,14148,-58.0,87,1,0.84,0.198341
DQN,deceptive_grid,0,95,14203,-44.0,55,1,0.8394,0.179085
DQN,deceptive_grid,0,96,14336,-126.0,133,1,0.8379,0.180404
DQN,deceptive_grid,0,97,14536,-258.0,200,0,0.8356,0.183844
DQN,deceptive_grid,0,98,14639,-94.0,103,1,0.8344,0.188332
DQN,deceptive_grid,0,99,14738,-72.0,99,1,0.8333,0.17601
DQN,deceptive_grid,0,100,14839,-124.0,101,1,0.8322,0.168689
DQN,deceptive_grid,0,101,14975,-135.0,136,1,0.8306,0.159731
DQN,deceptive_grid,0,102,14982,2.0,7,1,0.8306,0.139569
DQN,deceptive_grid,0,103,15165,-200.0,183,1,0.8285,0.197889
DQN,deceptive_grid,0,104,15342,-158.0,177,1,0.8265,0.167511
DQN,deceptive_grid,0,105,15403,-90.0,61,1,0.8258,0.165689
DQN,deceptive_grid,0,106,15524,-170.0,121,1,0.8244,0.165073
DQN,deceptive_grid,0,107,15664,-121.0,140,1,0.8228,0.177594
DQN,deceptive_grid,0,108,15864,-238.0,200,0,0.8206,0.156799
DQN,deceptive_grid,0,109,15916,-37.0,52,1,0.82,0.154031
DQN,deceptive_grid,0,110,15977,-30.0,61,1,0.8193,0.150159
