algo,grid,final_success_mean,final_success_lo,final_success_hi,auc_mean,auc_lo,auc_hi,ep_to_thr_mean,ep_to_thr_lo,ep_to_thr_hi,norm_return_mean,norm_return_lo,norm_return_hi,steps_to_goal_mean,steps_to_goal_lo,steps_to_goal_hi,composite_mean,composite_lo,composite_hi
DQN,A1_grid,0.6699999999999999,0.2833479414253688,1.056652058574631,0.30416666666666664,0.16799403358644752,0.4403392997468858,356.4,186.85570057309502,525.944299426905,0.8787061994609164,0.8030768733592418,0.954335525562591,12.01,7.058616643692392,16.961383356307607,0.5644,0.23358454601880796,0.8952154539811921
DuelingDQN,A1_grid,0.9800000000000001,0.9244800000000001,1.03552,0.5416666666666666,0.3913,0.6920333333333333,234.4,45.969913036797664,422.83008696320235,0.9707726864330638,0.9574931380005423,0.9840522348655854,14.467999999999998,13.752545574740079,15.183454425259917,0.8317333333333334,0.6737655173828685,0.9897011492837984
DQN,deceptive_grid,0.9800000000000001,0.9460010823701696,1.0139989176298307,0.6849999999999999,0.5280338980685461,0.8419661019314538,173.6,140.00466495240744,207.19533504759255,0.9184518167456556,0.9047306508184596,0.9321729826728515,14.068000000000001,13.12442947376256,15.011570526237442,0.8722666666666667,0.8492587785260022,0.8952745548073313
DuelingDQN,deceptive_grid,0.96,0.892002164740339,1.027997835259661,0.7733333333333333,0.67665647904258,0.8700101876240867,144.4,103.49189346645338,185.30810653354663,0.9640126382306476,0.9611895423706881,0.9668357340906072,13.078,12.345619856697356,13.810380143302643,0.8797333333333335,0.8146708837126123,0.9447957829540546
DQN,large_grid,0.55,0.2071892883820578,0.8928107116179422,0.33083333333333337,0.2592881002442045,0.4023785664224622,484.0,387.8442631317992,580.1557368682007,0.8461293031066331,0.8007293035656339,0.8915293026476324,11.962,5.981112026457612,17.942887973542387,0.3918666666666667,0.19117263904735204,0.5925606942859813
DuelingDQN,large_grid,0.72,0.4171741516977126,1.0228258483022874,0.42833333333333334,0.3380392184765068,0.5186274481901598,277.6,246.0633693213749,309.1366306786251,0.9299538203190595,0.8989756610042653,0.9609319796338537,11.286,7.516220618665331,15.055779381334668,0.6469333333333334,0.4516291559131871,0.8422375107534796
DQN,small_grid,1.0,1.0,1.0,0.9308333333333334,0.9064060230252194,0.9552606436414474,20.0,20.0,20.0,0.937016393442623,0.9237115809573088,0.9503212059279372,4.2,4.2,4.2,0.9866666666666667,0.9866666666666667,0.9866666666666667
DuelingDQN,small_grid,1.0,1.0,1.0,0.9366666666666668,0.9061955790953676,0.9671377542379659,21.0,18.224,23.776,0.9942185792349727,0.9933325642647174,0.995104594205228,4.2,4.2,4.2,0.9860000000000001,0.9841493333333334,0.9878506666666668
