episode,return,length,success,epsilon,curriculum_radius
0,-76.5,49,1,0.9994,4
1,-2.0,6,1,0.9994,4
2,10.0,2,1,0.9994,4
3,-258.0,99,1,0.9982,4
4,-525.5,200,0,0.996,4
5,-185.5,82,1,0.995,4
6,-61.0,34,1,0.9947,4
7,4.5,4,1,0.9946,4
8,-48.5,24,1,0.9943,4
9,-5.0,5,1,0.9943,4
10,-6.5,11,1,0.9942,4
11,-205.5,86,1,0.9932,4
12,-398.0,151,1,0.9915,4
13,10.5,1,1,0.9915,4
14,-232.0,97,1,0.9904,4
15,-117.5,38,1,0.9899,4
16,-372.0,152,1,0.9882,4
17,-74.0,27,1,0.9879,4
18,10.5,1,1,0.9879,4
19,-239.0,92,1,0.9869,4
20,-71.0,28,1,0.9866,4
21,-120.0,52,1,0.986,4
22,-39.0,23,1,0.9857,4
23,-4.0,8,1,0.9856,4
24,-9.0,9,1,0.9855,4
25,-175.0,76,1,0.9847,4
26,-67.0,40,1,0.9842,4
27,-360.0,145,1,0.9826,4
28,-159.5,64,1,0.9818,4
29,-126.0,63,1,0.9811,6
30,10.0,2,1,0.9811,6
31,-363.5,140,1,0.9795,6
32,-479.0,200,0,0.9773,6
33,-248.5,98,1,0.9761,6
34,-501.5,200,0,0.9739,6
35,-179.0,75,1,0.973,6
36,-78.5,48,1,0.9725,6
37,-115.0,56,1,0.9719,6
38,-400.0,193,1,0.9697,6
39,8.5,3,1,0.9696,6
40,-3.5,7,1,0.9696,6
41,3.5,4,1,0.9695,6
42,-277.0,98,1,0.9684,6
43,-18.0,14,1,0.9683,6
44,-455.0,200,0,0.966,6
45,-129.0,67,1,0.9652,6
46,-269.0,122,1,0.9639,6
47,-232.0,105,1,0.9627,6
48,-237.5,107,1,0.9615,6
49,-3.5,7,1,0.9614,6
50,-28.0,18,1,0.9612,6
51,-273.5,95,1,0.9601,6
52,-24.0,12,1,0.96,6
53,6.0,6,1,0.9599,6
54,-499.0,181,1,0.9578,6
55,-404.5,185,1,0.9558,6
56,-330.5,143,1,0.9541,6
57,-5.5,6,1,0.9541,6
58,5.0,3,1,0.954,6
59,-151.5,64,1,0.9533,8
60,-114.5,52,1,0.9527,8
61,-41.0,17,1,0.9525,8
62,10.0,2,1,0.9525,8
63,-364.5,163,1,0.9507,8
64,-24.0,17,1,0.9505,8
65,-488.5,191,1,0.9483,8
66,-6.0,12,1,0.9482,8
67,-238.0,105,1,0.947,8
68,-462.5,200,0,0.9447,8
69,-1.5,10,1,0.9446,8
70,-81.0,41,1,0.9442,8
71,-521.0,200,0,0.9419,8
72,-57.0,33,1,0.9415,8
73,-79.0,33,1,0.9411,8
74,-17.5,18,1,0.9409,8
75,-55.0,31,1,0.9406,8
76,-5.0,5,1,0.9405,8
77,-246.5,109,1,0.9393,8
78,-21.0,18,1,0.9391,8
79,-227.0,115,1,0.9378,8
80,-237.0,119,1,0.9365,8
81,-95.5,42,1,0.936,8
82,-140.0,88,1,0.935,8
83,-6.0,10,1,0.9349,8
84,-4.5,9,1,0.9348,8
85,-90.0,53,1,0.9342,8
86,10.0,2,1,0.9341,8
87,-192.0,86,1,0.9332,8
88,-80.5,37,1,0.9328,8
89,-108.0,58,1,0.9321,8
90,-164.5,81,1,0.9312,8
91,-35.5,17,1,0.931,8
92,7.5,5,1,0.9309,8
93,-131.0,64,1,0.9302,8
94,-146.0,67,1,0.9295,8
95,-186.0,59,1,0.9288,8
96,10.5,1,1,0.9288,8
97,-32.5,21,1,0.9285,8
98,-261.0,103,1,0.9274,8
99,-114.0,59,1,0.9267,8
100,-155.0,64,1,0.926,8
101,-69.0,39,1,0.9255,8
102,-95.5,56,1,0.9249,8
103,-6.0,10,1,0.9248,8
104,5.5,2,1,0.9248,8
105,-97.0,51,1,0.9242,8
106,-248.5,106,1,0.923,8
107,-64.0,35,1,0.9226,8
108,-5.0,13,1,0.9225,8
109,-10.5,7,1,0.9224,8
110,-128.0,54,1,0.9218,8
111,-30.5,16,1,0.9216,8
112,-299.5,132,1,0.9201,8
113,-138.0,70,1,0.9193,8
114,5.0,3,1,0.9193,8
115,-194.5,103,1,0.9181,8
116,-49.5,26,1,0.9178,8
117,-32.5,13,1,0.9177,8
118,-79.0,44,1,0.9172,8
119,-63.0,31,1,0.9168,8
120,-45.5,35,1,0.9164,8
121,10.5,1,1,0.9164,8
122,-107.0,53,1,0.9158,8
123,-10.0,6,1,0.9157,8
124,-56.5,37,1,0.9153,8
125,-165.0,85,1,0.9144,8
126,-6.5,6,1,0.9143,8
127,10.0,2,1,0.9143,8
128,-101.5,38,1,0.9138,8
129,-69.5,27,1,0.9135,8
130,-455.0,198,1,0.9113,8
131,-69.0,44,1,0.9108,8
132,-398.5,155,1,0.909,8
133,-26.5,15,1,0.9089,8
134,10.5,1,1,0.9089,8
135,-229.0,93,1,0.9078,8
136,-10.0,11,1,0.9077,8
137,-190.0,84,1,0.9067,8
138,-208.0,92,1,0.9057,8
139,-322.0,150,1,0.904,8
140,-4.5,9,1,0.9039,8
141,-287.0,137,1,0.9023,8
142,1.0,7,1,0.9023,8
143,-78.5,40,1,0.9018,8
144,-54.0,39,1,0.9014,8
145,-27.0,16,1,0.9012,8
146,-3.0,8,1,0.9011,8
147,-126.5,59,1,0.9004,8
148,-115.5,62,1,0.8997,8
149,4.0,8,1,0.8996,8
150,5.0,3,1,0.8996,8
151,-75.0,37,1,0.8992,8
152,5.0,8,1,0.8991,8
153,-199.5,77,1,0.8982,8
154,-479.0,200,0,0.896,8
155,-179.0,88,1,0.895,8
156,-95.0,31,1,0.8946,8
157,-96.5,39,1,0.8942,8
158,1.5,8,1,0.8941,8
159,-62.5,35,1,0.8937,8
160,-170.5,79,1,0.8928,8
161,-39.0,20,1,0.8926,8
162,-33.5,26,1,0.8923,8
163,10.5,1,1,0.8923,8
164,-136.0,76,1,0.8914,8
165,-26.0,24,1,0.8911,8
166,-76.5,36,1,0.8907,8
167,-81.5,42,1,0.8903,8
168,-47.5,24,1,0.89,8
169,-15.5,13,1,0.8898,8
170,-27.5,17,1,0.8896,8
171,10.5,1,1,0.8896,8
172,-5.0,13,1,0.8895,8
173,-44.5,22,1,0.8892,8
174,4.0,8,1,0.8891,8
175,-57.0,30,1,0.8888,8
176,-40.0,22,1,0.8886,8
177,10.0,2,1,0.8885,8
178,-96.0,41,1,0.8881,8
179,-78.0,31,1,0.8877,8
180,-6.0,12,1,0.8876,8
181,-32.5,18,1,0.8874,8
182,-53.0,34,1,0.887,8
183,-67.0,35,1,0.8866,8
184,-58.5,26,1,0.8863,8
185,-7.5,13,1,0.8862,8
186,-68.0,45,1,0.8856,8
187,7.0,6,1,0.8856,8
188,-60.0,37,1,0.8852,8
189,-35.5,20,1,0.8849,8
190,-39.5,21,1,0.8847,8
191,-18.0,19,1,0.8845,8
192,-192.5,101,1,0.8833,8
193,-230.0,95,1,0.8823,8
194,-11.5,12,1,0.8821,8
195,-29.5,19,1,0.8819,8
196,-63.5,42,1,0.8814,8
197,10.5,1,1,0.8814,8
198,-57.5,31,1,0.8811,8
199,-3.0,8,1,0.881,8
200,-1.5,10,1,0.8809,8
201,-136.0,68,1,0.8801,8
202,-95.5,40,1,0.8797,8
203,-62.5,38,1,0.8792,8
204,10.5,1,1,0.8792,8
205,-155.0,67,1,0.8785,8
206,-72.5,42,1,0.878,8
207,-61.5,33,1,0.8776,8
208,0.5,10,1,0.8775,8
209,-23.0,25,1,0.8772,8
210,-102.0,50,1,0.8766,8
211,-281.5,135,1,0.8751,8
212,-5.5,9,1,0.875,8
213,-8.0,9,1,0.8749,8
214,-55.5,34,1,0.8745,8
215,-60.0,21,1,0.8743,8
216,-82.5,44,1,0.8738,8
217,3.5,9,1,0.8737,8
218,-14.5,16,1,0.8735,8
219,-211.5,100,1,0.8724,8
220,-161.0,67,1,0.8716,8
221,-43.0,24,1,0.8714,8
222,-224.0,107,1,0.8701,8
223,10.0,2,1,0.8701,8
224,-59.5,28,1,0.8698,8
225,-2.0,6,1,0.8697,8
226,-295.0,151,1,0.868,8
227,-17.5,20,1,0.8678,8
228,-37.5,19,1,0.8676,8
229,-4.0,10,1,0.8675,8
230,-145.0,67,1,0.8667,8
231,-108.5,51,1,0.8661,8
232,-36.5,20,1,0.8659,8
233,-6.0,7,1,0.8658,8
234,-107.5,55,1,0.8652,8
235,-2.0,11,1,0.8651,8
236,-39.5,32,1,0.8647,8
237,-96.5,66,1,0.864,8
238,-43.0,24,1,0.8637,8
239,-24.0,20,1,0.8635,8
240,-197.5,99,1,0.8624,8
241,7.5,5,1,0.8623,8
242,8.0,4,1,0.8623,8
243,5.5,2,1,0.8622,8
244,-15.5,8,1,0.8621,8
245,-23.5,16,1,0.862,8
246,-5.0,10,1,0.8619,8
247,-8.5,13,1,0.8617,8
248,-58.0,32,1,0.8613,8
249,-105.0,49,1,0.8608,8
250,-254.0,122,1,0.8594,8
251,-17.0,14,1,0.8593,8
252,-126.5,45,1,0.8587,8
253,-57.0,38,1,0.8583,8
254,2.0,7,1,0.8582,8
255,-87.0,44,1,0.8577,8
256,-137.0,73,1,0.8569,8
257,-29.5,22,1,0.8567,8
258,-36.0,32,1,0.8563,8
259,-13.5,14,1,0.8561,8
260,-92.0,39,1,0.8557,8
261,8.5,5,1,0.8556,8
262,-0.5,13,1,0.8555,8
263,-9.0,9,1,0.8554,8
264,7.0,6,1,0.8553,8
265,-135.5,69,1,0.8545,8
266,-36.0,29,1,0.8542,8
267,-108.0,61,1,0.8535,8
268,-7.0,12,1,0.8534,8
269,-49.5,36,1,0.853,8
270,5.5,7,1,0.8529,8
271,-89.5,58,1,0.8523,8
272,-159.0,79,1,0.8514,8
273,-78.0,36,1,0.851,8
274,-55.5,24,1,0.8507,8
275,-5.0,5,1,0.8506,8
276,5.0,3,1,0.8506,8
277,-79.0,52,1,0.85,8
278,-69.5,46,1,0.8495,8
279,5.5,2,1,0.8495,8
280,-30.0,20,1,0.8492,8
281,10.0,2,1,0.8492,8
282,7.5,5,1,0.8492,8
283,-36.5,22,1,0.8489,8
284,-197.5,67,1,0.8481,8
285,-24.0,22,1,0.8479,8
286,-47.0,20,1,0.8477,8
287,-335.5,162,1,0.8458,8
288,-77.0,45,1,0.8453,8
289,-43.0,27,1,0.845,8
290,-20.0,24,1,0.8448,8
291,-20.5,20,1,0.8445,8
292,-10.0,14,1,0.8444,8
293,-34.0,22,1,0.8441,8
294,-46.0,31,1,0.8438,8
295,-330.0,179,1,0.8417,8
296,-3.0,8,1,0.8417,8
297,-25.0,17,1,0.8415,8
298,-43.0,35,1,0.8411,8
299,-161.5,79,1,0.8402,8
300,10.5,1,1,0.8402,8
301,-26.5,20,1,0.8399,8
302,-7.5,8,1,0.8398,8
303,8.5,3,1,0.8398,8
304,-19.0,19,1,0.8396,8
305,-124.5,65,1,0.8389,8
306,4.0,8,1,0.8388,8
307,-8.0,9,1,0.8387,8
308,5.5,7,1,0.8386,8
309,-85.0,47,1,0.8381,8
310,-37.5,22,1,0.8378,8
311,-57.5,26,1,0.8375,8
312,-33.0,27,1,0.8372,8
313,5.0,3,1,0.8372,8
314,-12.0,15,1,0.837,8
315,-8.0,12,1,0.8369,8
316,-41.0,30,1,0.8365,8
317,5.5,7,1,0.8365,8
318,-15.5,16,1,0.8363,8
319,-7.0,17,1,0.8361,8
320,8.5,3,1,0.836,8
321,-206.5,85,1,0.8351,8
322,-106.0,56,1,0.8345,8
323,-27.0,16,1,0.8343,8
324,-135.5,58,1,0.8336,8
325,-24.5,16,1,0.8334,8
326,-229.0,95,1,0.8324,8
327,-34.5,23,1,0.8321,8
328,-8.0,9,1,0.832,8
329,-1.5,10,1,0.8319,8
330,-22.5,16,1,0.8317,8
331,-43.5,33,1,0.8313,8
